Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
46,Walter Holke#\holkewa01,31,PHI,NL,148,605,563,60,169,23,6,6,64,3,8,25,33,0.3,0.33,0.394,0.724,85,222,,0,17,,,*3
47,Jack Tobin*\tobinja01,32,SLB,AL,136,629,569,87,170,30,8,2,48,6,10,50,12,0.299,0.357,0.39,0.748,88,222,,2,8,,,*9/H
48,Curt Walker*\walkecu01,27,TOT,NL,133,533,468,66,140,27,11,5,54,7,6,51,19,0.299,0.369,0.436,0.805,114,204,,1,12,,,*98/H7
49,Max Carey#\careyma01,34,PIT,NL,149,683,599,113,178,30,9,8,55,49,13,58,17,0.297,0.366,0.417,0.783,108,250,,7,19,,,*8
50,Whitey Witt*\wittwh01,28,NYY,AL,147,663,600,88,178,26,5,1,38,9,7,45,20,0.297,0.346,0.362,0.707,83,217,,0,15,,,*8/H
51,Wally Pipp*\pippwa01,31,NYY,AL,153,663,589,88,174,30,19,9,110,12,5,51,36,0.295,0.352,0.457,0.808,107,269,,0,23,,,*3
52,Bobby Veach*\veachbo01,36,BOS,AL,142,600,519,77,153,35,9,5,99,5,5,47,18,0.295,0.359,0.426,0.785,103,221,,5,28,,,*7H
53,Pie Traynor\traynpi01,25,PIT,NL,142,596,545,86,160,26,13,5,82,24,18,37,26,0.294,0.34,0.417,0.756,100,227,,1,13,,,*5/H
54,George Harper*\harpege02,32,TOT,NL,137,553,485,75,141,29,6,16,58,11,14,51,28,0.291,0.366,0.474,0.841,115,230,,7,10,,,*987/H
55,Stuffy McInnis\mcinnst01,33,BSN,NL,146,611,581,57,169,23,7,1,59,9,3,15,6,0.291,0.311,0.36,0.671,83,209,,2,13,,,*3
56,Heinie Manush*\manushe01,22,DET,AL,120,487,422,84,122,24,8,9,68,14,5,27,30,0.289,0.355,0.448,0.803,108,189,,16,20,,,*7H/983
57,Topper Rigney\rigneto01,27,DET,AL,147,633,499,82,144,29,9,4,94,11,11,102,39,0.289,0.41,0.407,0.817,113,203,,1,31,,,*6/H
58,Charlie Grimm*\grimmch01,25,PIT,NL,151,600,542,53,156,25,12,2,63,3,6,37,22,0.288,0.336,0.389,0.725,92,211,,2,18,,,*3
59,Joe Hauser*\hausejo01,25,PHA,AL,149,634,562,97,162,31,8,27,115,7,5,56,52,0.288,0.358,0.516,0.874,123,290,,5,11,,,*3/H
60,Glenn Wright\wrighgl01,23,PIT,NL,153,662,616,80,177,28,18,7,111,14,6,27,52,0.287,0.318,0.425,0.744,96,262,,1,18,,,*6
61,Muddy Ruel\ruelmu01,28,WSH,AL,149,599,501,50,142,20,2,0,57,7,11,62,20,0.283,0.37,0.331,0.702,83,166,,7,29,,,*2/H
62,Jack Smith*\smithja03,29,STL,NL,124,503,459,91,130,18,6,2,33,24,16,33,27,0.283,0.333,0.362,0.694,88,166,,1,9,,,*97H8
63,LgAvg per 600 PA,,,,170,600,533,76,150,24,7,6,68,11,5,46,29,0.282,0.343,0.387,0.729,,206,,3,17,,,
64,Heinie Groh\grohhe01,34,NYG,NL,145,635,559,82,157,32,3,2,46,8,6,52,29,0.281,0.354,0.36,0.713,93,201,,11,13,,,*5
65,Casey Stengel*\stengca01,33,BSN,NL,131,518,461,57,129,20,6,5,39,13,13,45,39,0.28,0.348,0.382,0.73,100,176,,3,9,,,*9/H8
66,Bernie Friberg\fribebe01,24,CHC,NL,142,589,495,67,138,19,3,5,82,19,27,66,53,0.279,0.369,0.36,0.729,95,178,,5,21,,,*5
67,Jigger Statz\statzji01,26,CHC,NL,135,601,549,69,152,22,5,3,49,13,9,37,50,0.277,0.325,0.352,0.676,80,193,,2,13,,,*8/H4
68,Chick Galloway\galloch01,27,PHA,AL,129,505,464,41,128,16,4,2,48,11,12,23,23,0.276,0.311,0.341,0.652,67,158,,1,17,,,*6
69,Bill Wambsganss\wambsbi01,30,BOS,AL,156,732,636,93,174,41,5,0,49,14,8,54,33,0.274,0.334,0.354,0.688,78,225,,4,37,,,*4
70,Hod Ford\fordho01,26,PHI,NL,145,576,530,58,144,27,5,3,53,1,9,27,40,0.272,0.308,0.358,0.667,70,190,,1,18,,,*4
71,Wally Gerber\gerbewa01,32,SLB,AL,148,570,496,61,135,20,4,0,55,4,5,43,34,0.272,0.341,0.329,0.67,69,163,,9,18,,,*6/H
72,Roger Peckinpaugh\peckiro01,33,WSH,AL,155,620,523,72,142,20,5,2,73,9,6,72,45,0.272,0.36,0.34,0.7,83,178,,0,20,,,*6
73,Bucky Harris\harribu01,27,WSH,AL,143,653,544,88,146,28,9,1,58,20,10,56,41,0.268,0.344,0.358,0.703,83,195,,7,46,,,*4
74,Rabbit Maranville\maranra01,32,PIT,NL,152,640,594,62,158,33,20,2,71,18,14,35,53,0.266,0.307,0.399,0.706,86,237,,0,11,,,*4
75,Cotton Tierney\tiernco01,30,BSN,NL,136,539,505,38,131,16,1,6,58,11,8,22,37,0.259,0.296,0.331,0.626,71,167,,4,8,,,*45/H
76,Ernie Padgett\padgeer01,25,BSN,NL,138,548,502,42,128,25,9,1,46,4,9,37,56,0.255,0.31,0.347,0.657,79,174,,3,6,,,*54
77,Willie Kamm\kammwi01,24,CHW,AL,147,634,528,58,134,28,6,6,93,10,9,64,59,0.254,0.337,0.364,0.7,83,192,,2,32,,,*5/H
78,Tommy Griffith*\griffto01,34,BRO,NL,140,531,482,43,121,19,5,3,67,0,5,34,19,0.251,0.3,0.33,0.63,71,159,,0,15,,,*9/H
79,Everett Scott\scottev01,31,NYY,AL,153,589,548,56,137,12,6,4,59,3,7,21,15,0.25,0.278,0.316,0.593,53,173,,0,18,,,*6
80,Heinie Sand\sandhe01,26,PHI,NL,137,604,539,79,132,21,6,6,40,5,4,52,57,0.245,0.316,0.34,0.655,68,183,,4,9,,,*6
81,Milt Stock\stockmi01,30,BRO,NL,142,607,561,66,136,14,4,2,52,3,8,26,32,0.242,0.277,0.292,0.57,55,164,,1,19,,,*5
